episode,reward,epsilon,mode
16900,-19.03,0.727571370882376,easy
17000,-33.94,0.7261176677911945,easy
17100,-34.14,0.7246668692297425,easy
17200,-31.67,0.7232189693947086,easy
17300,-35.26,0.7217739624943743,easy
17400,-22.54,0.7203318427485956,easy
17500,-29.17,0.7188926043887767,easy
17600,-34.2,0.7174562416578456,easy
17700,-32.02,0.7160227488102355,easy
17800,-32.42,0.7145921201118582,easy
17900,-30.93,0.7131643498400828,easy
18000,-33.41,0.7117394322837111,easy
18100,-24.3,0.7103173617429589,easy
18200,-27.8,0.7088981325294267,easy
18300,-35.31,0.7074817389660834,easy
18400,-30.38,0.7060681753872385,easy
18500,-14.02,0.7046574361385229,easy
18600,-26.43,0.7032495155768649,easy
18700,-29.31,0.7018444080704684,easy
18800,-36.12,0.7004421079987884,easy
18900,-37.16,0.6990426097525102,easy
19000,-34.46,0.6976459077335282,easy
19100,-28.33,0.6962519963549197,easy
19200,-31.46,0.6948608700409266,easy
19300,-34.0,0.6934725232269299,easy
19400,-24.24,0.6920869503594291,easy
19500,-21.97,0.6907041458960209,easy
19600,-30.75,0.6893241043053748,easy
19700,-24.28,0.6879468200672115,easy
19800,-29.48,0.6865722876722825,easy
19900,-30.59,0.6852005016223469,easy
20000,-27.77,0.6838314564301488,easy
20100,-24.15,0.6824651466193957,easy
20200,-28.83,0.6811015667247372,easy
20300,-28.77,0.6797407112917431,easy
20400,-32.24,0.6783825748768801,easy
20500,-22.94,0.6770271520474928,easy
20600,-15.76,0.6756744373817798,easy
20700,-38.07,0.6743244254687724,easy
20800,-32.12,0.6729771109083128,easy
20900,-31.13,0.6716324883110337,easy
21000,-26.46,0.670290552298335,easy
21100,-32.2,0.6689512975023636,easy
21200,-30.23,0.6676147185659904,easy
21300,-31.09,0.666280810142792,easy
21400,-20.96,0.664949566897026,easy
21500,-27.39,0.6636209835036118,easy
21600,-28.85,0.6622950546481069,easy
21700,-24.35,0.6609717750266882,easy
21800,-38.59,0.6596511393461294,easy
21900,-26.83,0.6583331423237814,easy
22000,-33.36,0.6570177786875478,easy
22100,-28.15,0.6557050431758676,easy
22200,-23.69,0.6543949305376909,easy
22300,-26.9,0.6530874355324617,easy
22400,-34.7,0.6517825529300939,easy
22500,-29.77,0.6504802775109498,easy
22600,-29.57,0.6491806040658231,easy
22700,-30.6,0.6478835273959129,easy
22800,-21.62,0.6465890423128081,easy
22900,-25.06,0.645297143638463,easy
23000,-32.15,0.6440078262051774,easy
23100,-29.31,0.642721084855577,easy
23200,-29.14,0.6414369144425918,easy
23300,-31.62,0.6401553098294351,easy
23400,-30.09,0.6388762658895851,easy
23500,-25.21,0.6375997775067617,easy
23600,-25.88,0.6363258395749077,easy
23700,-20.31,0.6350544469981676,easy
23800,-25.92,0.6337855946908668,easy
23900,-27.63,0.6325192775774944,easy
24000,-26.71,0.6312554905926778,easy
24100,-32.51,0.6299942286811663,easy
24200,-28.98,0.6287354867978104,easy
24300,-33.16,0.6274792599075395,easy
24400,-22.84,0.6262255429853446,easy
24500,-27.33,0.6249743310162558,easy
24600,-24.26,0.6237256189953228,easy
24700,-29.88,0.6224794019275959,easy
24800,-32.63,0.6212356748281062,easy
24900,-28.62,0.6199944327218436,easy
25000,-29.0,0.6187556706437398,easy
25100,-30.6,0.6175193836386448,easy
25200,-22.15,0.6162855667613104,easy
25300,-28.52,0.6150542150763687,easy
25400,-32.07,0.6138253236583121,easy
25500,-28.2,0.6125988875914761,easy
25600,-31.04,0.6113749019700152,easy
25700,-22.68,0.6101533618978888,easy
25800,-27.05,0.6089342624888362,easy
25900,-27.72,0.607717598866361,easy
26000,-31.06,0.6065033661637109,easy
26100,-23.22,0.6052915595238545,easy
26200,-25.39,0.6040821740994675,easy
26300,-33.62,0.6028752050529099,easy
26400,-26.99,0.6016706475562077,easy
26500,-37.08,0.6004684967910322,easy
26600,-33.3,0.5992687479486836,easy
26700,-31.16,0.5980713962300676,easy
26800,-35.21,0.5968764368456807,easy
26900,-30.8,0.5956838650155879,easy
27000,-35.18,0.5944936759694048,easy
27100,-23.33,0.5933058649462789,easy
27200,-24.44,0.5921204271948695,easy
27300,-21.4,0.590937357973329,easy
27400,-38.17,0.5897566525492839,easy
27500,-35.58,0.5885783061998172,easy
27600,-28.73,0.587402314211447,easy
27700,-20.46,0.5862286718801097,easy
27800,-31.83,0.5850573745111406,easy
27900,-31.76,0.5838884174192556,easy
28000,-26.72,0.5827217959285305,easy
28100,-27.52,0.5815575053723849,easy
28200,-33.55,0.5803955410935622,easy
28300,-33.94,0.5792358984441094,easy
28400,-33.47,0.5780785727853628,easy
28500,-19.67,0.5769235594879256,easy
28600,-31.14,0.57577085393165,easy
28700,-19.79,0.5746204515056206,easy
28800,-26.76,0.5734723476081329,easy
28900,-28.14,0.5723265376466798,easy
29000,-31.72,0.5711830170379272,easy
29100,-34.66,0.5700417812076998,easy
29200,-33.9,0.568902825590961,easy
29300,-22.52,0.567766145631797,easy
29400,-26.43,0.5666317367833938,easy
29500,-26.86,0.5654995945080253,easy
29600,-26.38,0.56436971427703,easy
29700,-30.37,0.5632420915707936,easy
29800,-30.29,0.5621167218787356,easy
29900,-25.66,0.5609936006992847,easy
30000,-27.46,0.5598727235398648,easy
30100,-20.84,0.5587540859168764,easy
30200,-24.49,0.5576376833556776,easy
30300,-31.06,0.5565235113905682,easy
30400,-31.65,0.5554115655647687,easy
30500,-31.77,0.5543018414304052,easy
30600,-28.48,0.5531943345484918,easy
30700,-34.61,0.5520890404889108,easy
30800,-25.38,0.550985954830396,easy
30900,-29.28,0.5498850731605147,easy
31000,-23.58,0.548786391075651,easy
31100,-21.98,0.5476899041809866,easy
31200,-31.76,0.5465956080904864,easy
31300,-26.88,0.5455034984268751,easy
31400,-23.41,0.5444135708216259,easy
31500,-32.63,0.54332582091494,easy
31600,-29.29,0.5422402443557289,easy
31700,-35.01,0.5411568368015982,easy
31800,-13.27,0.5400755939188293,easy
31900,-33.85,0.5389965113823633,easy
32000,-19.07,0.5379195848757825,easy
32100,-27.98,0.5368448100912925,easy
32200,-30.65,0.5357721827297073,easy
32300,-24.84,0.5347016985004301,easy
32400,-26.98,0.5336333531214361,easy
32500,-26.28,0.5325671423192582,easy
32600,-27.86,0.5315030618289651,easy
32700,-18.31,0.5304411073941498,easy
32800,-24.17,0.5293812747669071,easy
32900,-23.44,0.5283235597078209,easy
33000,-38.38,0.5272679579859436,easy
33100,-30.53,0.5262144653787849,easy
33200,-30.68,0.5251630776722865,easy
33300,-21.74,0.5241137906608131,easy
33400,-22.21,0.5230666001471308,easy
33500,-24.5,0.5220215019423929,easy
33600,-25.75,0.5209784918661214,easy
33700,-27.52,0.5199375657461911,easy
33800,-27.74,0.5188987194188128,easy
33900,-32.83,0.5178619487285164,easy
34000,-31.21,0.5168272495281357,easy
34100,-36.76,0.5157946176787884,easy
34200,-25.42,0.514764049049864,easy
34300,-29.97,0.5137355395190041,easy
34400,-30.51,0.5127090849720874,easy
