WORD       | FINAL    | ENTROPY  | PROB MASS
hoard      | 5.6732   | 5.0348   | 0.6384
homer      | 5.6700   | 4.9262   | 0.7438
peach      | 5.6697   | 4.9294   | 0.7403
lover      | 5.6697   | 4.8954   | 0.7743
sonic      | 5.6694   | 4.9042   | 0.7652
erupt      | 5.6688   | 5.0490   | 0.6198
baton      | 5.6680   | 4.9247   | 0.7433
scorn      | 5.6679   | 5.0115   | 0.6564
slang      | 5.6668   | 4.9600   | 0.7068
enter      | 5.6663   | 4.8096   | 0.8567
cover      | 5.6663   | 4.8159   | 0.8504
align      | 5.6655   | 4.9116   | 0.7539
singe      | 5.6638   | 5.0981   | 0.5657
staid      | 5.6636   | 5.0663   | 0.5973
while      | 5.6621   | 4.7892   | 0.8729
tarot      | 5.6617   | 4.9256   | 0.7361
stoke      | 5.6612   | 4.9394   | 0.7218
upset      | 5.6607   | 4.9064   | 0.7543
token      | 5.6604   | 4.9051   | 0.7553
nasty      | 5.6598   | 4.8938   | 0.7660
pesto      | 5.6597   | 5.0121   | 0.6476
fried      | 5.6587   | 4.9141   | 0.7446
refit      | 5.6580   | 5.0598   | 0.5982
basil      | 5.6572   | 4.9320   | 0.7252
dirge      | 5.6568   | 5.0244   | 0.6324
until      | 5.6542   | 4.7989   | 0.8553
ascot      | 5.6542   | 4.9806   | 0.6736
clout      | 5.6540   | 4.9963   | 0.6577
media      | 5.6540   | 4.7821   | 0.8719
plied      | 5.6535   | 5.0445   | 0.6090
mason      | 5.6533   | 4.8781   | 0.7752
irony      | 5.6532   | 4.9377   | 0.7155
liver      | 5.6523   | 4.8678   | 0.7845
wiser      | 5.6515   | 4.9806   | 0.6709
adobe      | 5.6508   | 4.8377   | 0.8131
sower      | 5.6500   | 5.0709   | 0.5791
meaty      | 5.6500   | 5.0162   | 0.6338
copse      | 5.6496   | 5.0927   | 0.5569
money      | 5.6491   | 4.7804   | 0.8687
ralph      | 5.6491   | 4.8644   | 0.7847
daisy      | 5.6488   | 4.8976   | 0.7512
macro      | 5.6485   | 4.8716   | 0.7769
glide      | 5.6484   | 4.9438   | 0.7046
gruel      | 5.6479   | 5.0962   | 0.5517
skirt      | 5.6471   | 4.8699   | 0.7772
brave      | 5.6463   | 4.8944   | 0.7519
clasp      | 5.6437   | 4.9503   | 0.6934
voice      | 5.6434   | 4.8038   | 0.8396
beach      | 5.6429   | 4.7895   | 0.8534
amber      | 5.6427   | 4.8616   | 0.7811
flute      | 5.6413   | 4.8994   | 0.7419
melon      | 5.6407   | 4.9473   | 0.6934
snout      | 5.6404   | 5.0283   | 0.6121
grime      | 5.6403   | 4.9934   | 0.6469
owner      | 5.6400   | 4.8035   | 0.8365
white      | 5.6399   | 4.7688   | 0.8711
haunt      | 5.6389   | 4.9604   | 0.6785
sheet      | 5.6388   | 4.8106   | 0.8282
scrap      | 5.6388   | 4.9004   | 0.7384
tuber      | 5.6370   | 5.0279   | 0.6091
flora      | 5.6334   | 4.8853   | 0.7481
fault      | 5.6325   | 4.8452   | 0.7873
power      | 5.6307   | 4.7577   | 0.8730
broil      | 5.6306   | 4.9871   | 0.6435
abide      | 5.6282   | 4.8902   | 0.7380
maker      | 5.6269   | 4.8311   | 0.7958
spoil      | 5.6269   | 4.9314   | 0.6955
flirt      | 5.6267   | 4.9199   | 0.7068
loose      | 5.6266   | 4.8409   | 0.7857
these      | 5.6236   | 4.7311   | 0.8925
sneak      | 5.6228   | 4.9059   | 0.7169
sadly      | 5.6225   | 4.8825   | 0.7400
eagle      | 5.6224   | 4.8262   | 0.7962
scout      | 5.6199   | 4.8612   | 0.7587
twine      | 5.6195   | 4.9832   | 0.6363
savor      | 5.6183   | 4.9722   | 0.6461
gayer      | 5.6177   | 5.0812   | 0.5365
tardy      | 5.6169   | 4.9966   | 0.6203
craze      | 5.6166   | 4.9392   | 0.6774
bagel      | 5.6162   | 4.9481   | 0.6681
spilt      | 5.6161   | 5.0136   | 0.6025
adept      | 5.6154   | 4.9145   | 0.7009
sound      | 5.6150   | 4.7630   | 0.8520
tango      | 5.6149   | 4.8902   | 0.7247
built      | 5.6143   | 4.7762   | 0.8381
grope      | 5.6137   | 5.0265   | 0.5872
honey      | 5.6135   | 4.8363   | 0.7772
scion      | 5.6135   | 4.8973   | 0.7162
china      | 5.6126   | 4.7548   | 0.8578
basin      | 5.6126   | 4.8333   | 0.7793
whole      | 5.6124   | 4.7649   | 0.8475
octal      | 5.6122   | 4.9613   | 0.6509
groin      | 5.6106   | 4.9430   | 0.6676
cheap      | 5.6102   | 4.7591   | 0.8511
fruit      | 5.6102   | 4.8035   | 0.8067
crisp      | 5.6101   | 4.8704   | 0.7397
poker      | 5.6086   | 4.7498   | 0.8588
break      | 5.6079   | 4.7752   | 0.8327
weird      | 5.6077   | 4.8250   | 0.7827
tonic      | 5.6072   | 4.9125   | 0.6947
ashen      | 5.6067   | 5.0120   | 0.5947
tumor      | 5.6054   | 4.8395   | 0.7659
shard      | 5.6054   | 4.9878   | 0.6176
mealy      | 5.6045   | 5.0341   | 0.5704
rhino      | 5.6043   | 4.8814   | 0.7229
navel      | 5.6042   | 4.9061   | 0.6981
boule      | 5.6022   | 5.0318   | 0.5704
deity      | 5.6021   | 4.9120   | 0.6901
randy      | 5.6009   | 4.8316   | 0.7693
about      | 5.6009   | 4.6925   | 0.9084
cloth      | 5.6008   | 4.8244   | 0.7764
grasp      | 5.5977   | 4.8652   | 0.7325
tonga      | 5.5973   | 4.8487   | 0.7486
plaid      | 5.5971   | 4.8939   | 0.7032
march      | 5.5966   | 4.7325   | 0.8641
baker      | 5.5955   | 4.8037   | 0.7918
debar      | 5.5945   | 5.0671   | 0.5274
shorn      | 5.5943   | 5.0134   | 0.5809
chute      | 5.5929   | 4.9224   | 0.6705
final      | 5.5929   | 4.7416   | 0.8513
tramp      | 5.5926   | 4.9095   | 0.6831
aloud      | 5.5925   | 4.8543   | 0.7382
latch      | 5.5924   | 4.8866   | 0.7058
shied      | 5.5914   | 5.0274   | 0.5640
grout      | 5.5913   | 4.9344   | 0.6569
shout      | 5.5912   | 4.8506   | 0.7406
guide      | 5.5909   | 4.7194   | 0.8715
straw      | 5.5903   | 4.8498   | 0.7405
posit      | 5.5899   | 4.9714   | 0.6185
prove      | 5.5899   | 4.7953   | 0.7946
creak      | 5.5894   | 5.0157   | 0.5737
cobra      | 5.5893   | 4.8443   | 0.7450
login      | 5.5888   | 4.7271   | 0.8617
rehab      | 5.5884   | 4.8280   | 0.7604
carat      | 5.5880   | 4.8539   | 0.7341
fresh      | 5.5873   | 4.7632   | 0.8241
shave      | 5.5873   | 4.8650   | 0.7223
chaos      | 5.5872   | 4.8152   | 0.7720
mural      | 5.5867   | 4.8929   | 0.6938
robin      | 5.5859   | 4.8036   | 0.7823
scour      | 5.5855   | 4.9497   | 0.6358
matey      | 5.5848   | 5.0202   | 0.5646
opine      | 5.5827   | 5.0187   | 0.5640
could      | 5.5821   | 4.7023   | 0.8798
sheer      | 5.5820   | 4.8202   | 0.7618
braid      | 5.5814   | 4.9031   | 0.6783
wheat      | 5.5813   | 4.8093   | 0.7720
often      | 5.5812   | 4.7314   | 0.8498
crawl      | 5.5808   | 4.8541   | 0.7267
valor      | 5.5803   | 4.8928   | 0.6875
berth      | 5.5801   | 4.8983   | 0.6818
olive      | 5.5800   | 4.8054   | 0.7746
brief      | 5.5786   | 4.7600   | 0.8186
fable      | 5.5783   | 4.8751   | 0.7032
clerk      | 5.5773   | 4.7935   | 0.7838
stove      | 5.5773   | 4.8372   | 0.7401
noisy      | 5.5753   | 4.8373   | 0.7380
erect      | 5.5752   | 4.8629   | 0.7123
aloft      | 5.5736   | 4.9283   | 0.6453
forge      | 5.5735   | 4.8215   | 0.7520
asset      | 5.5734   | 4.7744   | 0.7990
dirty      | 5.5733   | 4.7786   | 0.7947
burst      | 5.5725   | 4.8212   | 0.7513
tract      | 5.5725   | 4.8157   | 0.7568
greet      | 5.5724   | 4.8665   | 0.7059
stony      | 5.5706   | 4.8617   | 0.7089
globe      | 5.5704   | 4.7793   | 0.7911
spied      | 5.5692   | 4.9504   | 0.6188
wager      | 5.5674   | 4.8736   | 0.6938
racer      | 5.5665   | 4.8297   | 0.7368
sneer      | 5.5636   | 4.9639   | 0.5997
whose      | 5.5634   | 4.7356   | 0.8278
drove      | 5.5634   | 4.8090   | 0.7544
screw      | 5.5625   | 4.7929   | 0.7696
urban      | 5.5625   | 4.7390   | 0.8235
mount      | 5.5616   | 4.7393   | 0.8223
sandy      | 5.5615   | 4.7846   | 0.7769
altar      | 5.5612   | 4.8381   | 0.7231
amend      | 5.5604   | 4.7925   | 0.7679
rebut      | 5.5598   | 4.9525   | 0.6073
viral      | 5.5590   | 4.8017   | 0.7573
suave      | 5.5590   | 4.9333   | 0.6257
broke      | 5.5586   | 4.7796   | 0.7790
mince      | 5.5584   | 4.9341   | 0.6243
bluer      | 5.5583   | 5.0076   | 0.5507
sleep      | 5.5575   | 4.7422   | 0.8153
spree      | 5.5571   | 4.8687   | 0.6884
yield      | 5.5571   | 4.7649   | 0.7922
abode      | 5.5555   | 4.8660   | 0.6895
angst      | 5.5553   | 4.8663   | 0.6890
began      | 5.5550   | 4.7313   | 0.8237
fecal      | 5.5545   | 4.8738   | 0.6807
debit      | 5.5539   | 4.8068   | 0.7471
guilt      | 5.5526   | 4.8158   | 0.7368
curio      | 5.5524   | 4.9062   | 0.6462
grief      | 5.5522   | 4.8059   | 0.7463
scalp      | 5.5520   | 4.8586   | 0.6934
total      | 5.5513   | 4.6787   | 0.8726
fairy      | 5.5509   | 4.7906   | 0.7603
nosey      | 5.5502   | 4.9732   | 0.5770
novel      | 5.5486   | 4.7433   | 0.8053
crank      | 5.5465   | 4.8315   | 0.7150
ovate      | 5.5454   | 4.9639   | 0.5815
toast      | 5.5441   | 4.8117   | 0.7324
guard      | 5.5435   | 4.7393   | 0.8042
faith      | 5.5419   | 4.7202   | 0.8217
threw      | 5.5396   | 4.7946   | 0.7450
wrath      | 5.5393   | 4.8186   | 0.7207
meter      | 5.5390   | 4.7321   | 0.8069
green      | 5.5385   | 4.6844   | 0.8541
mange      | 5.5356   | 4.9251   | 0.6105
genre      | 5.5355   | 4.7294   | 0.8061
stalk      | 5.5348   | 4.8588   | 0.6760
corny      | 5.5327   | 4.9011   | 0.6316
scaly      | 5.5324   | 4.9175   | 0.6149
scree      | 5.5315   | 4.9484   | 0.5831
deter      | 5.5296   | 4.8211   | 0.7085
wider      | 5.5287   | 4.7590   | 0.7697
lemur      | 5.5286   | 4.9109   | 0.6177
retro      | 5.5285   | 4.7597   | 0.7688
eager      | 5.5279   | 4.7851   | 0.7428
retch      | 5.5273   | 5.0176   | 0.5097
palsy      | 5.5270   | 4.8318   | 0.6952
spend      | 5.5263   | 4.7143   | 0.8120
niche      | 5.5263   | 4.7853   | 0.7410
decay      | 5.5253   | 4.7755   | 0.7498
clued      | 5.5252   | 4.9510   | 0.5742
cabin      | 5.5252   | 4.7561   | 0.7691
tiara      | 5.5231   | 4.8477   | 0.6754
horny      | 5.5231   | 4.7379   | 0.7852
relax      | 5.5230   | 4.7503   | 0.7727
inept      | 5.5225   | 4.8813   | 0.6412
sperm      | 5.5221   | 4.7650   | 0.7571
verso      | 5.5209   | 4.8531   | 0.6678
purge      | 5.5207   | 4.8269   | 0.6938
patsy      | 5.5197   | 4.8376   | 0.6821
topic      | 5.5192   | 4.6567   | 0.8625
brash      | 5.5172   | 4.8756   | 0.6416
field      | 5.5162   | 4.6562   | 0.8600
crony      | 5.5147   | 4.9354   | 0.5793
scene      | 5.5146   | 4.6994   | 0.8152
adopt      | 5.5143   | 4.7325   | 0.7818
glory      | 5.5140   | 4.7266   | 0.7874
prude      | 5.5127   | 4.9542   | 0.5585
spurt      | 5.5094   | 4.8854   | 0.6240
thief      | 5.5074   | 4.7790   | 0.7284
habit      | 5.5068   | 4.7576   | 0.7492
daunt      | 5.5067   | 4.9955   | 0.5112
panic      | 5.5066   | 4.7465   | 0.7601
gaunt      | 5.5062   | 4.8803   | 0.6259
usher      | 5.5045   | 4.7548   | 0.7497
graft      | 5.5029   | 4.8026   | 0.7003
birth      | 5.5010   | 4.6790   | 0.8220
shark      | 5.5007   | 4.7438   | 0.7569
grove      | 5.4997   | 4.7071   | 0.7926
perch      | 5.4993   | 4.8102   | 0.6891
soapy      | 5.4981   | 4.8777   | 0.6204
flash      | 5.4953   | 4.6541   | 0.8412
edict      | 5.4953   | 4.8631   | 0.6322
burnt      | 5.4947   | 4.7628   | 0.7319
mercy      | 5.4918   | 4.7292   | 0.7626
begat      | 5.4903   | 4.8938   | 0.5965
speak      | 5.4901   | 4.6728   | 0.8173
charm      | 5.4898   | 4.7105   | 0.7793
gland      | 5.4881   | 4.7661   | 0.7220
stoic      | 5.4880   | 4.8732   | 0.6148
rival      | 5.4876   | 4.7436   | 0.7440
right      | 5.4858   | 4.6083   | 0.8775
patch      | 5.4857   | 4.6606   | 0.8251
piety      | 5.4851   | 4.8309   | 0.6542
vital      | 5.4849   | 4.6948   | 0.7901
surly      | 5.4831   | 4.8524   | 0.6307
curve      | 5.4822   | 4.7011   | 0.7811
trick      | 5.4817   | 4.7119   | 0.7698
buyer      | 5.4792   | 4.6526   | 0.8266
erode      | 5.4792   | 4.8122   | 0.6670
chard      | 5.4781   | 4.8368   | 0.6413
overt      | 5.4780   | 4.8054   | 0.6726
drawn      | 5.4762   | 4.6844   | 0.7918
swirl      | 5.4757   | 4.7860   | 0.6897
piney      | 5.4755   | 4.8418   | 0.6337
micro      | 5.4744   | 4.6685   | 0.8059
leafy      | 5.4740   | 4.8116   | 0.6624
lumen      | 5.4736   | 4.8108   | 0.6628
aware      | 5.4727   | 4.6619   | 0.8108
acrid      | 5.4717   | 4.9071   | 0.5646
shaft      | 5.4716   | 4.7113   | 0.7603
glint      | 5.4713   | 4.8565   | 0.6148
gnome      | 5.4712   | 4.6853   | 0.7859
haven      | 5.4712   | 4.6918   | 0.7794
saucy      | 5.4711   | 4.8282   | 0.6429
scald      | 5.4693   | 4.9061   | 0.5632
croak      | 5.4682   | 4.8781   | 0.5901
riser      | 5.4679   | 4.7902   | 0.6777
hinge      | 5.4671   | 4.7618   | 0.7053
vault      | 5.4669   | 4.7136   | 0.7533
antic      | 5.4668   | 4.8838   | 0.5830
spike      | 5.4663   | 4.7175   | 0.7488
proud      | 5.4661   | 4.6691   | 0.7970
cleft      | 5.4658   | 4.7980   | 0.6678
grunt      | 5.4658   | 4.8099   | 0.6559
touch      | 5.4656   | 4.6431   | 0.8225
flyer      | 5.4655   | 4.7099   | 0.7556
paper      | 5.4653   | 4.6053   | 0.8600
donut      | 5.4644   | 4.7937   | 0.6707
clove      | 5.4640   | 4.8020   | 0.6620
tepid      | 5.4630   | 4.8591   | 0.6039
crier      | 5.4627   | 4.8316   | 0.6311
slurp      | 5.4611   | 4.8160   | 0.6451
beret      | 5.4605   | 4.8358   | 0.6247
dense      | 5.4605   | 4.7085   | 0.7520
flint      | 5.4594   | 4.7274   | 0.7320
slack      | 5.4592   | 4.7492   | 0.7100
world      | 5.4588   | 4.5711   | 0.8877
ester      | 5.4587   | 4.7582   | 0.7005
spoke      | 5.4586   | 4.6758   | 0.7828
infer      | 5.4585   | 4.7746   | 0.6839
elect      | 5.4581   | 4.7023   | 0.7558
broth      | 5.4563   | 4.7649   | 0.6914
scarf      | 5.4558   | 4.7245   | 0.7313
audio      | 5.4557   | 4.5973   | 0.8584
spout      | 5.4555   | 4.7810   | 0.6745
inlay      | 5.4551   | 4.7776   | 0.6775
badge      | 5.4528   | 4.6943   | 0.7585
cower      | 5.4524   | 4.8930   | 0.5594
smith      | 5.4521   | 4.6131   | 0.8390
basic      | 5.4514   | 4.6040   | 0.8474
lousy      | 5.4505   | 4.7670   | 0.6835
rusty      | 5.4499   | 4.7244   | 0.7255
abled      | 5.4489   | 4.8759   | 0.5730
fiber      | 5.4476   | 4.6542   | 0.7934
lunge      | 5.4476   | 4.8490   | 0.5986
sinew      | 5.4475   | 4.9008   | 0.5467
rabid      | 5.4462   | 4.7906   | 0.6556
sling      | 5.4459   | 4.7424   | 0.7035
drank      | 5.4452   | 4.7394   | 0.7058
unmet      | 5.4441   | 4.7903   | 0.6538
felon      | 5.4431   | 4.8097   | 0.6334
creed      | 5.4426   | 4.7085   | 0.7341
blend      | 5.4417   | 4.6656   | 0.7761
bacon      | 5.4417   | 4.6885   | 0.7532
modal      | 5.4415   | 4.7373   | 0.7042
crush      | 5.4412   | 4.7049   | 0.7363
pinto      | 5.4401   | 4.7561   | 0.6840
foyer      | 5.4393   | 4.7582   | 0.6811
forth      | 5.4392   | 4.6367   | 0.8025
leave      | 5.4379   | 4.5956   | 0.8423
elder      | 5.4378   | 4.6726   | 0.7652
gleam      | 5.4376   | 4.8090   | 0.6286
chime      | 5.4369   | 4.7526   | 0.6843
cloud      | 5.4362   | 4.6542   | 0.7820
amble      | 5.4359   | 4.8552   | 0.5807
piece      | 5.4358   | 4.6076   | 0.8282
angry      | 5.4355   | 4.6611   | 0.7744
golem      | 5.4355   | 4.7958   | 0.6397
fiery      | 5.4343   | 4.7270   | 0.7073
thank      | 5.4341   | 4.5951   | 0.8390
tulip      | 5.4340   | 4.7148   | 0.7192
brunt      | 5.4328   | 4.7883   | 0.6445
apart      | 5.4323   | 4.6367   | 0.7956
mourn      | 5.4322   | 4.7650   | 0.6672
flour      | 5.4318   | 4.6803   | 0.7515
sworn      | 5.4317   | 4.7138   | 0.7179
shunt      | 5.4316   | 4.7767   | 0.6549
leaky      | 5.4297   | 4.7712   | 0.6585
dunce      | 5.4297   | 4.8612   | 0.5685
halve      | 5.4295   | 4.8212   | 0.6083
aorta      | 5.4293   | 4.7715   | 0.6578
drift      | 5.4291   | 4.6893   | 0.7398
ghost      | 5.4290   | 4.6381   | 0.7909
shrew      | 5.4280   | 4.7958   | 0.6322
covet      | 5.4277   | 4.8240   | 0.6037
eight      | 5.4276   | 4.6091   | 0.8185
turbo      | 5.4264   | 4.6489   | 0.7775
freak      | 5.4263   | 4.6863   | 0.7400
denim      | 5.4259   | 4.6779   | 0.7480
truer      | 5.4255   | 4.8142   | 0.6113
oaken      | 5.4252   | 4.8829   | 0.5423
being      | 5.4249   | 4.5503   | 0.8746
spark      | 5.4247   | 4.6758   | 0.7489
graph      | 5.4242   | 4.6308   | 0.7934
tubal      | 5.4232   | 4.7715   | 0.6517
demon      | 5.4230   | 4.6762   | 0.7468
stork      | 5.4217   | 4.7577   | 0.6640
troll      | 5.4209   | 4.7081   | 0.7128
wafer      | 5.4198   | 4.7201   | 0.6997
lurid      | 5.4191   | 4.8138   | 0.6053
wince      | 5.4182   | 4.7550   | 0.6632
flake      | 5.4181   | 4.7468   | 0.6713
maybe      | 5.4175   | 4.5844   | 0.8331
bland      | 5.4166   | 4.7154   | 0.7012
fraud      | 5.4166   | 4.6235   | 0.7931
knelt      | 5.4164   | 4.7785   | 0.6379
worth      | 5.4156   | 4.5848   | 0.8308
movie      | 5.4143   | 4.5502   | 0.8641
scram      | 5.4141   | 4.8341   | 0.5800
month      | 5.4139   | 4.5564   | 0.8575
pansy      | 5.4127   | 4.7758   | 0.6369
gaily      | 5.4119   | 4.8352   | 0.5767
plume      | 5.4108   | 4.7205   | 0.6903
smoke      | 5.4094   | 4.6137   | 0.7957
stack      | 5.4094   | 4.6282   | 0.7812
cloak      | 5.4091   | 4.7126   | 0.6965
cyber      | 5.4057   | 4.6312   | 0.7745
match      | 5.4049   | 4.5709   | 0.8340
unlit      | 5.4043   | 4.8453   | 0.5590
order      | 5.4023   | 4.5201   | 0.8822
bilge      | 5.4023   | 4.7664   | 0.6359
twirl      | 5.4021   | 4.7951   | 0.6070
foist      | 5.4020   | 4.8711   | 0.5309
focal      | 5.4020   | 4.6455   | 0.7565
liken      | 5.4009   | 4.8238   | 0.5771
stamp      | 5.4000   | 4.6236   | 0.7764
cagey      | 5.3999   | 4.8596   | 0.5403
group      | 5.3990   | 4.5178   | 0.8812
prism      | 5.3987   | 4.6753   | 0.7234
child      | 5.3980   | 4.5412   | 0.8568
niece      | 5.3962   | 4.7104   | 0.6858
chord      | 5.3954   | 4.6649   | 0.7305
chief      | 5.3946   | 4.5654   | 0.8292
shelf      | 5.3944   | 4.6126   | 0.7818
prize      | 5.3941   | 4.5992   | 0.7949
diver      | 5.3941   | 4.6740   | 0.7201
azure      | 5.3936   | 4.7125   | 0.6811
prank      | 5.3934   | 4.7234   | 0.6700
flesh      | 5.3934   | 4.6311   | 0.7623
siege      | 5.3932   | 4.6720   | 0.7212
nerdy      | 5.3931   | 4.7549   | 0.6382
taint      | 5.3925   | 4.7614   | 0.6311
extra      | 5.3920   | 4.5549   | 0.8371
rebel      | 5.3920   | 4.6311   | 0.7609
hardy      | 5.3906   | 4.6425   | 0.7481
women      | 5.3902   | 4.5156   | 0.8746
aunty      | 5.3897   | 4.7815   | 0.6082
candy      | 5.3893   | 4.6002   | 0.7891
trunk      | 5.3890   | 4.6081   | 0.7809
boney      | 5.3887   | 4.7531   | 0.6356
hasty      | 5.3883   | 4.7262   | 0.6621
curly      | 5.3874   | 4.6715   | 0.7159
tempo      | 5.3866   | 4.6528   | 0.7338
crown      | 5.3856   | 4.5897   | 0.7959
poesy      | 5.3855   | 4.8489   | 0.5366
otter      | 5.3851   | 4.6824   | 0.7027
manly      | 5.3848   | 4.6948   | 0.6900
admit      | 5.3842   | 4.6118   | 0.7724
clang      | 5.3840   | 4.7885   | 0.5955
foray      | 5.3834   | 4.7379   | 0.6455
serve      | 5.3811   | 4.5588   | 0.8223
puree      | 5.3804   | 4.7414   | 0.6390
algae      | 5.3804   | 4.6678   | 0.7126
roost      | 5.3802   | 4.7250   | 0.6552
shiny      | 5.3796   | 4.6481   | 0.7315
moult      | 5.3789   | 4.8320   | 0.5469
aptly      | 5.3787   | 4.7243   | 0.6544
depth      | 5.3767   | 4.5589   | 0.8178
grind      | 5.3755   | 4.6549   | 0.7206
fleet      | 5.3753   | 4.5967   | 0.7786
drier      | 5.3751   | 4.7145   | 0.6606
ladle      | 5.3745   | 4.7437   | 0.6308
chafe      | 5.3743   | 4.8029   | 0.5714
mower      | 5.3733   | 4.6729   | 0.7004
heady      | 5.3727   | 4.7342   | 0.6385
label      | 5.3727   | 4.5466   | 0.8261
caput      | 5.3726   | 4.8075   | 0.5651
alley      | 5.3720   | 4.6258   | 0.7462
rupee      | 5.3716   | 4.6453   | 0.7263
hover      | 5.3715   | 4.6719   | 0.6996
begin      | 5.3714   | 4.5424   | 0.8290
forty      | 5.3709   | 4.6050   | 0.7659
stall      | 5.3706   | 4.6571   | 0.7135
lyric      | 5.3692   | 4.6058   | 0.7634
chide      | 5.3687   | 4.8285   | 0.5402
pasty      | 5.3686   | 4.7622   | 0.6064
porch      | 5.3685   | 4.6341   | 0.7344
welsh      | 5.3677   | 4.6022   | 0.7655
locus      | 5.3674   | 4.6385   | 0.7289
sheen      | 5.3674   | 4.6827   | 0.6847
blunt      | 5.3663   | 4.6240   | 0.7423
debut      | 5.3654   | 4.6006   | 0.7648
crepe      | 5.3649   | 4.6983   | 0.6666
visor      | 5.3636   | 4.6560   | 0.7076
repel      | 5.3625   | 4.7234   | 0.6391
incur      | 5.3616   | 4.6509   | 0.7107
creep      | 5.3611   | 4.6545   | 0.7066
raspy      | 5.3604   | 4.7956   | 0.5648
whine      | 5.3603   | 4.6898   | 0.6705
above      | 5.3602   | 4.4989   | 0.8613
blurt      | 5.3600   | 4.8054   | 0.5546
trust      | 5.3598   | 4.5249   | 0.8349
biome      | 5.3584   | 4.7668   | 0.5916
gavel      | 5.3572   | 4.7292   | 0.6280
mirth      | 5.3566   | 4.7246   | 0.6320
disco      | 5.3564   | 4.5924   | 0.7640
cheer      | 5.3559   | 4.6188   | 0.7371
torso      | 5.3559   | 4.6503   | 0.7056
girth      | 5.3555   | 4.7107   | 0.6448
midst      | 5.3555   | 4.6216   | 0.7339
exalt      | 5.3516   | 4.7545   | 0.5971
sting      | 5.3513   | 4.6259   | 0.7254
vapor      | 5.3511   | 4.6129   | 0.7382
cramp      | 5.3501   | 4.7155   | 0.6346
rural      | 5.3495   | 4.5326   | 0.8169
loamy      | 5.3490   | 4.7697   | 0.5793
manic      | 5.3480   | 4.6515   | 0.6965
exact      | 5.3473   | 4.5413   | 0.8060
sweet      | 5.3469   | 4.5286   | 0.8183
video      | 5.3464   | 4.4623   | 0.8841
bison      | 5.3463   | 4.6352   | 0.7111
hyena      | 5.3461   | 4.7320   | 0.6141
ruler      | 5.3454   | 4.6225   | 0.7229
inane      | 5.3451   | 4.7221   | 0.6230
salvo      | 5.3450   | 4.7042   | 0.6408
doing      | 5.3446   | 4.4986   | 0.8460
linen      | 5.3439   | 4.5941   | 0.7498
laugh      | 5.3430   | 4.5664   | 0.7766
unity      | 5.3429   | 4.5711   | 0.7718
creme      | 5.3418   | 4.6374   | 0.7044
still      | 5.3416   | 4.4729   | 0.8687
corer      | 5.3406   | 4.7805   | 0.5601
tunic      | 5.3405   | 4.6766   | 0.6639
ethos      | 5.3400   | 4.6634   | 0.6766
rider      | 5.3394   | 4.5661   | 0.7733
color      | 5.3393   | 4.4840   | 0.8553
dowel      | 5.3385   | 4.7212   | 0.6173
devil      | 5.3373   | 4.5507   | 0.7866
stank      | 5.3367   | 4.7741   | 0.5626
graze      | 5.3365   | 4.7068   | 0.6297
dried      | 5.3360   | 4.5764   | 0.7596
shall      | 5.3357   | 4.4668   | 0.8689
sight      | 5.3349   | 4.5469   | 0.7880
parer      | 5.3348   | 4.8248   | 0.5100
legal      | 5.3327   | 4.4714   | 0.8613
lapel      | 5.3324   | 4.6479   | 0.6845
glove      | 5.3322   | 4.5844   | 0.7478
agate      | 5.3318   | 4.6576   | 0.6742
viola      | 5.3314   | 4.6112   | 0.7202
trout      | 5.3313   | 4.5782   | 0.7531
viper      | 5.3309   | 4.6156   | 0.7153
tangy      | 5.3303   | 4.7051   | 0.6252
light      | 5.3302   | 4.4719   | 0.8583
noose      | 5.3295   | 4.6980   | 0.6315
binge      | 5.3282   | 4.6567   | 0.6715
logic      | 5.3280   | 4.5195   | 0.8085
drink      | 5.3278   | 4.5128   | 0.8150
preen      | 5.3276   | 4.7819   | 0.5457
snack      | 5.3275   | 4.5882   | 0.7393
frank      | 5.3270   | 4.5097   | 0.8173
notch      | 5.3267   | 4.5938   | 0.7329
girly      | 5.3265   | 4.6593   | 0.6672
quiet      | 5.3258   | 4.5297   | 0.7961
vista      | 5.3258   | 4.5361   | 0.7897
vicar      | 5.3252   | 4.6552   | 0.6700
exist      | 5.3252   | 4.5149   | 0.8103
shove      | 5.3251   | 4.6538   | 0.6713
crypt      | 5.3249   | 4.6160   | 0.7089
truck      | 5.3246   | 4.5065   | 0.8181
amity      | 5.3236   | 4.6742   | 0.6494
steep      | 5.3223   | 4.5882   | 0.7341
quote      | 5.3220   | 4.4612   | 0.8608
decry      | 5.3218   | 4.7222   | 0.5996
rebus      | 5.3214   | 4.7160   | 0.6054
rough      | 5.3213   | 4.5386   | 0.7827
valid      | 5.3202   | 4.4843   | 0.8359
allot      | 5.3201   | 4.6862   | 0.6339
humor      | 5.3188   | 4.5200   | 0.7988
mover      | 5.3183   | 4.6009   | 0.7174
croup      | 5.3181   | 4.7346   | 0.5835
canal      | 5.3174   | 4.5473   | 0.7701
apple      | 5.3169   | 4.4846   | 0.8323
deign      | 5.3162   | 4.7569   | 0.5593
inner      | 5.3157   | 4.5180   | 0.7977
shift      | 5.3155   | 4.5136   | 0.8019
warty      | 5.3154   | 4.7475   | 0.5679
swept      | 5.3152   | 4.5924   | 0.7228
quite      | 5.3148   | 4.4780   | 0.8368
