WORD       | FINAL    | ENTROPY  | PROB MASS
inter      | 6.0990   | 5.3062   | 0.7928
cable      | 6.0970   | 5.2551   | 0.8419
flare      | 6.0944   | 5.3793   | 0.7151
false      | 6.0937   | 5.2743   | 0.8194
write      | 6.0928   | 5.2345   | 0.8583
resin      | 6.0917   | 5.3418   | 0.7499
truce      | 6.0894   | 5.4154   | 0.6740
haste      | 6.0808   | 5.3989   | 0.6819
lathe      | 6.0808   | 5.3983   | 0.6825
metal      | 6.0788   | 5.2433   | 0.8355
trash      | 6.0783   | 5.3142   | 0.7641
relay      | 6.0778   | 5.3033   | 0.7745
heard      | 6.0776   | 5.2486   | 0.8290
slain      | 6.0747   | 5.3839   | 0.6908
laden      | 6.0741   | 5.3168   | 0.7573
curse      | 6.0725   | 5.3317   | 0.7408
tamer      | 6.0724   | 5.4440   | 0.6284
grant      | 6.0711   | 5.2406   | 0.8305
merit      | 6.0670   | 5.3066   | 0.7604
cadet      | 6.0656   | 5.3614   | 0.7042
outer      | 6.0653   | 5.2836   | 0.7817
smart      | 6.0638   | 5.2415   | 0.8223
chase      | 6.0602   | 5.2794   | 0.7808
tripe      | 6.0589   | 5.4562   | 0.6027
cruel      | 6.0585   | 5.3157   | 0.7428
inlet      | 6.0583   | 5.3237   | 0.7346
drone      | 6.0568   | 5.3930   | 0.6638
leapt      | 6.0552   | 5.4194   | 0.6358
leash      | 6.0541   | 5.3623   | 0.6918
paler      | 6.0525   | 5.4678   | 0.5847
slope      | 6.0520   | 5.2915   | 0.7605
teach      | 6.0505   | 5.2499   | 0.8006
wrote      | 6.0496   | 5.2140   | 0.8356
safer      | 6.0492   | 5.2984   | 0.7508
delta      | 6.0491   | 5.2354   | 0.8137
lease      | 6.0481   | 5.2511   | 0.7970
crime      | 6.0459   | 5.2206   | 0.8253
trend      | 6.0459   | 5.2520   | 0.7939
spite      | 6.0444   | 5.2986   | 0.7458
snort      | 6.0440   | 5.3453   | 0.6987
pause      | 6.0437   | 5.2969   | 0.7468
snail      | 6.0398   | 5.3394   | 0.7004
onset      | 6.0345   | 5.2950   | 0.7395
spire      | 6.0341   | 5.3703   | 0.6638
short      | 6.0322   | 5.1785   | 0.8537
sedan      | 6.0316   | 5.2834   | 0.7482
tiger      | 6.0305   | 5.2414   | 0.7891
feast      | 6.0303   | 5.2876   | 0.7427
court      | 6.0276   | 5.1691   | 0.8585
after      | 6.0276   | 5.1431   | 0.8845
shine      | 6.0263   | 5.2696   | 0.7567
cried      | 6.0254   | 5.2809   | 0.7445
cairn      | 6.0238   | 5.3625   | 0.6613
triad      | 6.0230   | 5.3244   | 0.6986
acute      | 6.0228   | 5.2415   | 0.7813
lager      | 6.0216   | 5.3401   | 0.6815
smile      | 6.0205   | 5.2311   | 0.7894
phase      | 6.0189   | 5.1933   | 0.8256
arson      | 6.0186   | 5.3399   | 0.6787
erase      | 6.0173   | 5.2873   | 0.7300
tease      | 6.0170   | 5.3055   | 0.7115
stein      | 6.0160   | 5.2762   | 0.7398
plant      | 6.0153   | 5.1815   | 0.8338
timer      | 6.0149   | 5.2487   | 0.7662
chart      | 6.0146   | 5.1937   | 0.8209
inert      | 6.0139   | 5.3379   | 0.6760
enact      | 6.0135   | 5.3234   | 0.6901
tonal      | 6.0124   | 5.3498   | 0.6626
