game_id,turn,candidates_left,chosen_word,entropy_score,prob_score,combined_score,is_winner,total_game_steps
0,2,94,clout,5.01226299802091,0.0,5.01226299802091,False,3
0,3,1,aloud,5.01226299802091,0.0,5.01226299802091,True,3
1,2,92,count,4.245196362820736,0.0,4.245196362820736,False,3
1,3,2,mambo,4.245196362820736,0.0,4.245196362820736,True,3
2,2,108,pilot,4.697164821128426,0.010625798935333771,4.70779062006376,False,3
2,3,7,filmy,1.6516355423642881,0.13896048519377618,1.7905960275580644,True,3
3,2,169,mulch,5.22134960510835,0.005701227898226248,5.227050833006577,False,3
3,3,6,whoop,2.575353676966465,0.14313775185389546,2.7184914288203603,True,3
4,2,41,spelt,4.4167166368094275,0.021718152088787676,4.438434788898215,False,4
4,3,4,shell,1.5166676505177787,0.26232127244315273,1.7789889229609315,False,4
4,4,2,smell,1.5166676505177787,0.26232127244315273,1.7789889229609315,True,4
5,2,21,splat,3.4382184230394266,0.0,3.4382184230394266,False,3
5,3,1,arson,3.4382184230394266,0.0,3.4382184230394266,True,3
6,2,78,crowd,4.371952890460427,0.0,4.371952890460427,False,4
6,3,2,aroma,4.371952890460427,0.0,4.371952890460427,False,4
6,4,1,groan,4.371952890460427,0.0,4.371952890460427,True,4
7,2,61,could,4.7296830030311545,0.0,4.7296830030311545,False,4
7,3,5,theme,2.3068116445678375,0.24306924010918765,2.5498808846770253,False,4
7,4,1,penne,2.3068116445678375,0.24306924010918765,2.5498808846770253,True,4
8,2,92,count,4.245196362820736,0.0,4.245196362820736,False,3
8,3,9,manly,2.923144884673644,0.111978158869697,3.035123043543341,True,3
9,2,92,count,4.245196362820736,0.0,4.245196362820736,False,3
9,3,2,laugh,4.245196362820736,0.0,4.245196362820736,True,3
10,2,169,mulch,5.22134960510835,0.005701227898226248,5.227050833006577,False,3
10,3,16,goody,3.276242855634696,0.0620977697643773,3.338340625399073,True,3
11,2,20,cloth,3.623175687562422,0.0,3.623175687562422,False,3
11,3,1,these,3.623175687562422,0.0,3.623175687562422,True,3
12,2,20,cloth,3.0089202751472297,0.0,3.0089202751472297,False,3
12,3,5,shape,0.7455529354823816,0.21213975019985457,0.9576926856822361,True,3
13,2,6,radio,2.2567332065527683,0.1896104888760599,2.446343695428828,False,3
13,3,1,radii,2.2567332065527683,0.1896104888760599,2.446343695428828,True,3
14,2,103,deter,4.345544290945185,0.009548680565350782,4.355092971510535,False,4
14,3,4,creep,1.979496988271265,0.24117026465583427,2.2206672529270994,False,4
14,4,1,creek,1.979496988271265,0.24117026465583427,2.2206672529270994,True,4
15,2,34,bleat,3.8729354751388456,0.0,3.8729354751388456,False,3
15,3,1,avert,3.8729354751388456,0.0,3.8729354751388456,True,3
16,2,12,steak,3.009167190314376,0.08468619604188704,3.093853386356263,False,3
16,3,1,askew,3.009167190314376,0.08468619604188704,3.093853386356263,True,3
17,2,108,pilot,4.697164821128426,0.010625798935333771,4.70779062006376,False,3
17,3,1,hippo,4.697164821128426,0.010625798935333771,4.70779062006376,True,3
18,2,12,align,3.0913226071715805,0.0921025601779814,3.183425167349562,False,3
18,3,1,voila,3.0913226071715805,0.0921025601779814,3.183425167349562,True,3
19,2,169,mulch,5.22134960510835,0.005701227898226248,5.227050833006577,False,3
19,3,1,nymph,5.22134960510835,0.005701227898226248,5.227050833006577,True,3
20,2,23,cloth,3.905401798674347,0.0,3.905401798674347,False,3
20,3,3,ovine,1.572324062594067,0.3067218358330223,1.8790458984270895,True,3
21,2,169,mulch,5.22134960510835,0.005701227898226248,5.227050833006577,False,6
21,3,8,found,2.3758692487173483,0.1431791145129551,2.5190483632303033,False,6
21,4,3,bound,0.9275035361240184,0.34283258458942556,1.270336120713444,False,6
21,5,2,pound,0.9275035361240184,0.34283258458942556,1.270336120713444,False,6
21,6,1,wound,0.9275035361240184,0.34283258458942556,1.270336120713444,True,6
22,2,1,stair,0.9275035361240184,0.34283258458942556,1.270336120713444,True,2
23,2,92,count,4.245196362820736,0.0,4.245196362820736,False,4
23,3,20,madly,3.7053659522157996,0.04851794805295685,3.7538839002687565,False,4
23,4,1,madam,3.7053659522157996,0.04851794805295685,3.7538839002687565,True,4
24,2,9,hoist,2.4669818111154274,0.11078108776165334,2.5777628988770807,False,3
24,3,1,noisy,2.4669818111154274,0.11078108776165334,2.5777628988770807,True,3
25,2,26,cloth,3.451017859683121,0.0,3.451017859683121,False,4
25,3,2,labor,3.451017859683121,0.0,3.451017859683121,False,4
25,4,1,valor,3.451017859683121,0.0,3.451017859683121,True,4
26,2,12,fried,2.7216335454724954,0.08736869254986797,2.809002238022363,False,6
26,3,4,tried,0.8623361188351168,0.28512181137144194,1.1474579302065588,False,6
26,4,3,dried,0.9502416516289887,0.3694406644416361,1.3196823160706248,False,6
26,5,2,cried,0.9502416516289887,0.3694406644416361,1.3196823160706248,False,6
26,6,1,pried,0.9502416516289887,0.3694406644416361,1.3196823160706248,True,6
27,2,78,crowd,4.371952890460427,0.0,4.371952890460427,False,4
27,3,3,brand,1.5843922667038088,0.3420438157106478,1.9264360824144566,False,4
27,4,1,fraud,1.5843922667038088,0.3420438157106478,1.9264360824144566,True,4
28,2,169,mulch,5.22134960510835,0.005701227898226248,5.227050833006577,False,4
28,3,7,gummy,2.54464111049621,0.13775614921636087,2.682397259712571,False,4
28,4,2,jumpy,2.54464111049621,0.13775614921636087,2.682397259712571,True,4
29,2,12,fried,2.7216335454724954,0.08736869254986797,2.809002238022363,False,5
29,3,4,tried,0.8623361188351168,0.28512181137144194,1.1474579302065588,False,5
